,transcript,user_action
628,eleveneight entrancelights from shining,SwitchLightOff
629,eliminate the lighting,SwitchLightOff
630,and the lights from shining in the cubicle,SwitchLightOff
631,and sure the lights are off in the waiting room,SwitchLightOff
632,find the bulbs for the cellar and turn them up,IncreaseBrightness
633,get me more light,IncreaseBrightness
634,get me some lights in the kitten,SwitchLightOn
635,i gers that boli slides to ghat dedo,SetLightBrightness
636,get rid of the lights in the bathroom,SwitchLightOff
637,get the cellar lights on,SwitchLightOn
638,get the launger room lights up to twenty two,SetLightBrightness
639,get the lights on,SwitchLightOn
640,get the lights on please,SwitchLightOn
641,get the living room whites on please,SwitchLightOn
642,get the room brighter please,IncreaseBrightness
643,give me more light an here,IncreaseBrightness
644,give me a more lake in the bedroom,IncreaseBrightness
645,give me pink lights,SetLightColor
646,a've just the toilit lights two twenty,SetLightBrightness
647,go ahead to turn the lodge meeding moonlight to thin,SetLightColor
648,go ahead and turn the laundry room lights up brighter,IncreaseBrightness
649,go straight and turn on the lights,SwitchLightOn
650,gogo please shut o fu lights,SwitchLightOff
651,goubles shut off lights,SwitchLightOff
652,have the kitchen lights at lower brightness,DecreaseBrightness
653,hav the lights colored blue,SetLightColor
654,have the lights turn blue,SetLightColor
655,help me change the color blue,SetLightColor
656,help me decrees the brightness in back there,DecreaseBrightness
657,activate lights,SwitchLightOn
658,elex o please turn off lights in backyard,SwitchLightOff
659,help me dem the light in the pantry,DecreaseBrightness
660,help me gim the lights,DecreaseBrightness
661,help me dim the lights place,DecreaseBrightness
662,help me make it so delight is not so bright,DecreaseBrightness
663,help me make the entire apartment read,SetLightColor
664,help me make the entire house pink,SetLightColor
665,help me make the light bragter,IncreaseBrightness
666,help me make the light green,SetLightColor
667,help me make the light red,SetLightColor
668,help me put on the lights,SwitchLightOn
669,are you able to change the lights to turn to green,SetLightColor
670,help me said the brightnass to culp,SetLightBrightness
671,houp me stet the entrance late to two,SetLightBrightness
672,helpd me set the lights to fifty,SetLightBrightness
673,help me set the lights to twenty,SetLightBrightness
674,help me turn on the light lease,SwitchLightOn
675,help me turn the late on,SwitchLightOn
676,e guu cut the lights in the kitchen,SwitchLightOff
677,hayless get the light brigt bes lowerin here,DecreaseBrightness
678,i don't prefer the living room lights to be on anymore,SwitchLightOff
679,i don't want it to be so bright,DecreaseBrightness
680,assistant i need my cubical lights on,SwitchLightOn
681,i don't want it to be this bright,DecreaseBrightness
682,i don't want back yard lights to bi an,SwitchLightOff
683,i don't want the bedroom to be so bright,DecreaseBrightness
684,i don't want the lights on any more,SwitchLightOff
685,i don't want to lights on in sella any more,SwitchLightOff
686,i don't want the lights on,SwitchLightOff
687,i don't want the lights to shine in the living room,SwitchLightOff
688,i don't want there to be any light on in the office,SwitchLightOff
689,i don't want there to be lights on any more,SwitchLightOff
690,i need a brightness fecting of twell in the ban tree,SetLightBrightness
691,assistant turned my lights on,SwitchLightOn
692,i need brighter lighting in the bedrooms,IncreaseBrightness
693,i need it to be brighter and the cubicle,IncreaseBrightness
694,any lighting,SwitchLightOn
695,i need lighting in the kitchen,SwitchLightOn
696,i need light on over the toilets,SwitchLightOn
697,i need more light,IncreaseBrightness
698,i need more light here,IncreaseBrightness
699,i need my bedroom brighter now,IncreaseBrightness
700,need my bedroom lites lower,DecreaseBrightness
701,i need my pantry set at ten brightness,SetLightBrightness
702,of meant the brightness of the lights,IncreaseBrightness
703,i need biglating in the office,SetLightColor
704,an need some light playse,SwitchLightOn
705,an made some light plays in the kitchen,SwitchLightOn
706,and nead some lives,SwitchLightOn
707,i need some lights in the kitchen,SwitchLightOn
708,i need some more lightsin here,IncreaseBrightness
709,i need the sell a bat like turned off,SwitchLightOff
710,a made the light,SwitchLightOn
711,i need the light in the kitchen,SwitchLightOn
712,heda like to be brighter,IncreaseBrightness
713,aug meant the brightness of the waiting room,IncreaseBrightness
714,need the like to be increased,IncreaseBrightness
715,i need the lighting cranked up a little,IncreaseBrightness
716,i need the lights in likein o that room to be set atn an feet,SetLightBrightness
717,i need the lights in the kid's room to bee pink,SetLightColor
718,i knew the late near the tilase to p breiter,IncreaseBrightness
719,i neet the lights off in the changing room,SwitchLightOff
720,i kneed the latsov in the entrance,SwitchLightOff
721,a eed the lights to be blue now,SetLightColor
722,i need the lights to be blue,SetLightColor
723,he lights to be brighter,IncreaseBrightness
724,but sure that all  little obliging is off,SwitchLightOff
725,and he delights to be dimmed,DecreaseBrightness
726,i need the lights turn down a bet,DecreaseBrightness
727,i need the lights turned off in the vestibule,SwitchLightOff
728,need the room to be blue,SetLightColor
729,i meed the sat to have the lighting or fufti,SetLightBrightness
730,i need two lamps all off no,SwitchLightOff
731,stop the lights to be on,SwitchLightOff
732,can you raise the lights in the toilets,IncreaseBrightness
733,stop the lights,SwitchLightOff
734,switch all the lights to the off position in the vestibule,SwitchLightOff
735,switz late galertoublu,SetLightColor
736,switch my lights on now,SwitchLightOn
737,switcho a full exterior lighting,SwitchLightOff
738,switch of small meeting room lights,SwitchLightOff
739,wich of the grage light,SwitchLightOff
740,switch off the lights,SwitchLightOff
741,switch off the lights after relieve for the tread,SwitchLightOff
742,switch off the shed lights,SwitchLightOff
743,can you set a pink right in the basement,SetLightColor
744,switch on my beck you are lighting,SwitchLightOn
745,switch on my cupical light please,SwitchLightOn
746,switch on my garden lights,SwitchLightOn
747,swish the lights in the kid's bedroom,SwitchLightOn
748,switch on the lights,SwitchLightOn
749,switch on the studio lite,SwitchLightOn
750,sweich the light to grean,SetLightColor
751,switched the light screen,SetLightColor
752,switched the lights to blue in the bedroom,SetLightColor
753,switch the lights to dark in the pantry,SwitchLightOff
754,can you sed the baseman lights to five,SetLightBrightness
755,swish the toilit light to red,SetLightColor
756,switch to red lights,SetLightColor
757,turn on the lights of kid's bedroom,SwitchLightOn
758,the basement is too bright,DecreaseBrightness
759,basefon lights must be switched on,SwitchLightOn
760,the bedroom light are too bright over the brightness,DecreaseBrightness
761,the bedroom lights need of brighter illumination,IncreaseBrightness
762,the bedroom lights need to be brighter right now,IncreaseBrightness
763,the brightness in the studio should be twenty two,SetLightBrightness
764,i need do lamps all off now please,SwitchLightOff
765,i need you to increase the intensity of the backyard light,IncreaseBrightness
766,i need you to turn the lights off in the basement,SwitchLightOff
767,i prefer it to lightzar on now,SwitchLightOn
768,be sure the light intensity is set to twalle per cent,SetLightBrightness
769,i should like to see red lights,SetLightColor
770,i think all the light should be on twenty two,SetLightBrightness
771,i think gelight should be on by now,SwitchLightOn
772,i think the light should be pink,SetLightColor
773,i want blue light,SetLightColor
774,i want rulites,SetLightColor
775,i want to been light,SetLightColor
776,torn it less brightno,DecreaseBrightness
777,i want it pink in here,SetLightColor
778,i wanted to be brighter in the cella,IncreaseBrightness
779,be sure the lights are completely darkened by the toilet,SwitchLightOff
780,i want less brightness,DecreaseBrightness
781,i want less lie,DecreaseBrightness
782,i want less light in the waiting room,DecreaseBrightness
783,i won't level twell to be the setting for the brightness,SetLightBrightness
784,i want lighting in the bedroom,SwitchLightOn
785,i want lights,SwitchLightOn
786,i want lights in the kitchen,SwitchLightOn
787,i want ligth on in the back yard,SwitchLightOn
788,i want lights on place,SwitchLightOn
789,i want living room lights to be changed to pink,SetLightColor
790,shore te like ar oufh by the toilet,SwitchLightOff
791,i want more brightness in the changing room,IncreaseBrightness
792,what more brigtness thin the pantry,IncreaseBrightness
793,i want more light,IncreaseBrightness
794,warn't more light in the bathroom,IncreaseBrightness
795,i want my child's bedroom to have e green lake,SetLightColor
796,i want my cubical lights to be on two,SetLightBrightness
797,i want pink lights now,SetLightColor
798,i wan't read lighting,SetLightColor
799,i'll want red lights please,SetLightColor
800,i want the bathroom to be more dim,DecreaseBrightness
801,trippd evag delighted in the waiting room,SwitchLightOn
802,buce te brigtness afthe lights,IncreaseBrightness
803,i want the brightest lights in the kitchen place,IncreaseBrightness
804,i want the brightness of the lights in the laundry room to be fifty,SetLightBrightness
805,i want the brightness said to too,SetLightBrightness
806,i wander bright nester be fifteen da b brom,SetLightBrightness
807,i want the brightness to be levelled then on my light,SetLightBrightness
808,i want the brightness to be seck at twenty,SetLightBrightness
809,i want to break this turn up in this room,IncreaseBrightness
810,i want to sell her late on,SwitchLightOn
811,i want the silla lates off,SwitchLightOff
812,bright lights place,IncreaseBrightness
813,i want the cellar lights on,SwitchLightOn
814,i want the cubig lights to be at twenty two per cent,SetLightBrightness
815,i want the cubicle to be brighter,IncreaseBrightness
816,i went to cubicle to be at thirty nine brightness,SetLightBrightness
817,i wan the dining room lights to be turned on,SwitchLightOn
818,went the entire apartment to be at too brightness,SetLightBrightness
819,i want the entrance lat on,SwitchLightOn
820,i want of facilities to have lights on now,SwitchLightOn
821,i want the houselights to be pink,SetLightColor
822,i want the kid's bedroom to be set to level fifty,SetLightBrightness
823,bright in the large meeting room please,IncreaseBrightness
824,i want the kids like to be pink,SetLightColor
825,i want a kitchen lights to be twenty two,SetLightBrightness
826,i want to light bulbs to be at level thirty nine,SetLightBrightness
827,i want the light color changed to red,SetLightColor
828,ive want thelight in the garden turned on,SwitchLightOn
829,i want the lights and the lounge to turn on,SwitchLightOn
830,i want the light intensity to be at level ten,SetLightBrightness
831,i want the light intensity turned up in the bedroom,IncreaseBrightness
832,i want the light set to ten everywhere,SetLightBrightness
833,i want delight to be on,SwitchLightOn
834,brighten the lights,IncreaseBrightness
835,i want the lighting increased,IncreaseBrightness
836,i want the lighting situated at twenty two in the dining room,SetLightBrightness
837,i wan the lad said good de,SetLightBrightness
838,i want the lights decreased please,DecreaseBrightness
839,i am on te light's dim,DecreaseBrightness
840,i warn the lights in tabout unpabi pink,SetLightColor
841,i want the lights in the bedroom on,SwitchLightOn
842,i want the lights in the bedroom set to five,SetLightBrightness
843,i want the lights in the launder room to change to red,SetLightColor
844,i want the lights in the pantry to be pink,SetLightColor
845,brighten the lights in the waiting room,IncreaseBrightness
846,i won the lights near toilets to be ping,SetLightColor
847,and what delitoff,SwitchLightOff
848,i want the lights off everywhere,SwitchLightOff
849,o went the light jog in the meeting room,SwitchLightOff
850,i one delights on,SwitchLightOn
851,i want the lights on at the two sitting,SwitchLightOn
852,went to like john for the entire plot please,SwitchLightOn
853,i want the lights on dow,SwitchLightOn
854,a want the lights set to fifty in the kidsroom,SetLightBrightness
855,i wont the lights to be at level twenty two,SetLightBrightness
856,brighten up the cubicle,IncreaseBrightness
857,i want the lights to be blue in the bathroom,SetLightColor
858,i want the lights to be brighter,IncreaseBrightness
859,i want the lights to be changed to blue,SetLightColor
860,i want the lights to be demmed,DecreaseBrightness
861,i want the lights to be increased in brightness,IncreaseBrightness
862,i want the lights to be increased,IncreaseBrightness
863,i want the lights to be lowered,DecreaseBrightness
864,i want the lights to be read pleased,SetLightColor
865,i want the lights to be turned off,SwitchLightOff
866,i want delights to be turned off in the vestibule,SwitchLightOff
867,brater,IncreaseBrightness
868,i want the light s turn down in the bedroom,DecreaseBrightness
869,i want to lounge light on,SwitchLightOn
870,i want the parkning lights off,SwitchLightOff
871,when de pelyo like turne don,SwitchLightOn
872,i want the petio room lights off,SwitchLightOff
873,i want the room brighter,IncreaseBrightness
874,i want thi studio to be dark,SwitchLightOff
875,what the toilet lights off,SwitchLightOff
876,i want the tollet lights to be at twelve,SetLightBrightness
877,i want the toilet lights to be on,SwitchLightOn
878,bagnas exist to pen in kets down peace,SetLightBrightness
879,i warnt e wes yo will write passon seven pictory poser,SetLightBrightness
880,i want the vestibule to shine at twelve per cent,SetLightBrightness
881,i want the waiting room lights at a ten,SetLightBrightness
882,i want this room at brighkness level ten,SetLightBrightness
883,i want to brighten the laundry room,IncreaseBrightness
884,i want to change a board rom brightness to ten pleas,SetLightBrightness
885,i want to change the light green,SetLightColor
886,i want to change the light to blue instead,SetLightColor
887,i want two lights to a lower setting place,DecreaseBrightness
888,i want to low en my apartment lights please,DecreaseBrightness
889,litna should be said to dwellponsen,SetLightBrightness
890,i want to make the light dimmer,DecreaseBrightness
891,i want to make the room brighter,IncreaseBrightness
892,i one two said te lay two ten,SetLightBrightness
893,i want to turn off the lights,SwitchLightOff
894,i want to turn off the patyo lamps,SwitchLightOff
895,i want to change the brightness level in the patio to ten,SetLightBrightness
896,i want you to switch off all the lights and my cubicle,SwitchLightOff
897,i want you to turn off the lights in the small meeting room,SwitchLightOff
898,i want you to turn the lights off in my room pleace,SwitchLightOff
899,brightness to seventy three pleas,SetLightBrightness
900,would like for the light to be brighter,IncreaseBrightness
901,i would like for the lifes to be p,SetLightColor
902,i would like green lights please,SetLightColor
903,i would like lights on inside the house,SwitchLightOn
904,i would like pink lights please,SetLightColor
905,i wond like o ride petlevell in the batnon  we thirty nine,SetLightBrightness
906,o'd like the brightness of the lights to be levelled fo you,SetLightBrightness
907,i would length the gragelates on fifty,SetLightBrightness
908,i'ld like the lights to be turned on,SwitchLightOn
909,i would like the lights less bright,DecreaseBrightness
910,activate telights,SwitchLightOn
911,bring darkness to this room by turning off the lights,SwitchLightOff
912,i would like the lights to change to green,SetLightColor
913,i would likhe the lights turned off,SwitchLightOff
914,ild leg the lawns late on,SwitchLightOn
915,i won't like tha estomin to be be,SetLightColor
916,i would like the waiting room lights turned up,IncreaseBrightness
917,i would prefer that the changing room lights be lowered,DecreaseBrightness
918,i'd light these lights on,SwitchLightOn
919,i would like our leds off,SwitchLightOff
920,i'd like for my lights to be fluffed on now,SwitchLightOn
921,i will lake for the lates to be blue,SetLightColor
922,bring the cellar lights up to two,SetLightBrightness
923,i'd like for the lights to go on now,SwitchLightOn
924,i'd like it a little docke,DecreaseBrightness
925,i like more lighting in the bedroom,IncreaseBrightness
926,i'd like the bedroom lights to be at ten per cent,SetLightBrightness
927,i ded like the brightness changed in the shade,SwitchLightOff
928,ou'd like the brightness head to twenty,SetLightBrightness
929,like the bright is turned down,DecreaseBrightness
930,i like to breakness tarnup,IncreaseBrightness
931,id light the brightness turned up in the garage,IncreaseBrightness
932,i'd like the house lights to be set to twelve,SetLightBrightness
933,can the changing room lights be turned on,SwitchLightOn
934,i'd like the kitchen to be brighter,IncreaseBrightness
935,i liked the light to increase in the pantry,IncreaseBrightness
936,i like the lives on the interenst to be on,SwitchLightOn
937,i like the lights on the laundry room to be at level twenty two,SetLightBrightness
938,like the light shoff in the vestibule,SwitchLightOff
939,i'd like the lights to be shut off,SwitchLightOff
940,i like the lives to be shut down,SwitchLightOff
941,i like the life to be turned on,SwitchLightOn
942,can the laundry room have green lights,SetLightColor
943,i'd like the lights to change in a large meeting room,SwitchLightOff
944,i'd like the lights to not be so bright,DecreaseBrightness
945,i'd like the lights turned down in the kid's room,DecreaseBrightness
946,i'd like the living room lights to be at twelve per cent,SetLightBrightness
947,i would like the pocket my stupidid,SetLightColor
948,i'd like the vestibule lighting to be at thirty nine,SetLightBrightness
949,i'd like to activate lights in my cubicol,SwitchLightOn
950,i like to have pink lighting in the bathroom,SetLightColor
951,iwuld like to lights to be green pleased,SetLightColor
952,i'd like to lower the lights in the bedroom,DecreaseBrightness
953,can the lifts be read instead,SetLightColor
954,i've prefered the lights were on now,SwitchLightOn
955,i'd prefer it to be brighter,IncreaseBrightness
956,i'd prefer the bathrom light to be at thirty nine,SetLightBrightness
957,and prefer the laundry rom lights to be turned to green,SetLightColor
958,i'd prefer the lights to be on,SwitchLightOn
959,i'd prefer the office lights to be on,SwitchLightOn
960,i'ld prefer the toil et lighting to be at level dwellin,SetLightBrightness
961,i'm gone with the lights in the dining room,SwitchLightOff
962,i'm in the basement please turn the lights on,SwitchLightOn
963,i'm in the kitchen and i need some lights,SwitchLightOn
964,can the living room lights be turned off,SwitchLightOff
965,i'm in the kitchen can you give me some lights please,SwitchLightOn
966,illuminate the entrance,SwitchLightOn
967,in the basement turned the brightness to twenty,SetLightBrightness
968,in the bat room turn up the light power,IncreaseBrightness
969,in the changing room turned down the light power,DecreaseBrightness
970,and the cubicle and switch off the lights,SwitchLightOff
971,in the entrance changed the collars to red,SetLightColor
972,in the entrance make the lights pink,SetLightColor
973,in the gradge changed the lights to pink,SetLightColor
974,in the kit's bedroom make the late pink,SetLightColor
975,and were changed the house lighting to twelve,SetLightBrightness
976,an their kid's bedroom turned the lights off,SwitchLightOff
977,in the laundry room turned down the light power,DecreaseBrightness
978,in the leaving room make the lights green,SetLightColor
979,in the lounge change it to level two,SetLightBrightness
980,in the lounge turned the lights off,SwitchLightOff
981,in the pantry turned down the brightness,DecreaseBrightness
982,in the pantry turn up the brightness,IncreaseBrightness
983,in the small meeting room the lights must be pink,SetLightColor
984,and the cellar set the brightness of the lightbolds to twelte,SetLightBrightness
985,increase brightness please,IncreaseBrightness
986,can we change sail lights to anything but pink,SetLightColor
987,increase brightness to fifty,SetLightBrightness
988,increase brightness to seventy three,SetLightBrightness
989,inquiries lad breadness,IncreaseBrightness
990,increase light intensity,IncreaseBrightness
991,increase lighting in entire apartment,IncreaseBrightness
992,increase lighting in small meeting room,IncreaseBrightness
993,increase lights in entire house,IncreaseBrightness
994,increase the braveness in the changing room,IncreaseBrightness
995,increased the brightness of the basement,IncreaseBrightness
996,increased the brightness of the kitchen lights,IncreaseBrightness
997,can we make the whole house af twenty two,SetLightBrightness
998,increase the bratness of the late in the cellar,IncreaseBrightness
999,increase the briateness of the late in the dining room,IncreaseBrightness
1000,increase the brightness of the late in the entrance,IncreaseBrightness
1001,increase the brightness of the lights,IncreaseBrightness
1002,increase the brightness of this rom,IncreaseBrightness
1003,increase the brightness to seventy three,SetLightBrightness
1004,increase the brightness to ten,SetLightBrightness
1005,torace the cubicle's light intensity,IncreaseBrightness
1006,increased the intensity of the lighting,IncreaseBrightness
1007,incrised the intensity of the liding pleafs,IncreaseBrightness
1008,green light in the shed,SetLightColor
1009,increased the intensity of the lates,IncreaseBrightness
1010,incresed eyed in a changin room,IncreaseBrightness
1011,increased the light intensity,IncreaseBrightness
1012,increase the light intensity in the vestibule,IncreaseBrightness
1013,increase the lighting,IncreaseBrightness
1014,increased the lighting in the cupicle,IncreaseBrightness
1015,increase the lighting in the vestibule,IncreaseBrightness
1016,increase the lighting intensity,IncreaseBrightness
1017,increase the lighting intensity please,IncreaseBrightness
1018,increased the lights in the bedroom,IncreaseBrightness
1019,activ ith atton it's light,SwitchLightOn
1020,can you change the bathroom light blue,SetLightColor
1021,increase the lates in the garden,IncreaseBrightness
1022,increase the late in the dilet,IncreaseBrightness
1023,increase telights on the patio,IncreaseBrightness
1024,increase the late spleece,IncreaseBrightness
1025,increase the lights it is too dark,IncreaseBrightness
1026,is it possible to turn down the brightness,DecreaseBrightness
1027,is it oky for you to decrease the brightness of the lights,DecreaseBrightness
1028,is it possible for you to turn the lights up in the cellar for us,IncreaseBrightness
1029,is it possible to get the lounge brightness to five,SetLightBrightness
1030,is it possible to tun down the brateness in the kitchbetroom,DecreaseBrightness
1031,can you change the color of the lights to read in the lodge geating room,SetLightColor
1032,is it possible to turn on studio light,SwitchLightOn
1033,is it possible to turn the lights on,SwitchLightOn
1034,is it possible to turn the lights down in this room,DecreaseBrightness
1035,is there away to turn the kitchen lights to red,SetLightColor
1036,is there anyway you can change the light buby blue,SetLightColor
1037,it is too dark on the patio increase the lights,IncreaseBrightness
1038,it is two dark more lights,IncreaseBrightness
1039,it's tall bright in here,DecreaseBrightness
1040,it's too bright wring the lights down,DecreaseBrightness
1041,stoo bright please make it darker,DecreaseBrightness
1042,then you chan ty kits room to rait,SetLightColor
1043,it's too dark an here,IncreaseBrightness
1044,it's too dark in here brighten the lights a bit,IncreaseBrightness
1045,too dark in the bedroom,IncreaseBrightness
1046,too dark in the waiting room,IncreaseBrightness
1047,as way thro dark en here,IncreaseBrightness
1048,kill the bathrnmites,SwitchLightOff
1049,kill the lights in the bedroom,SwitchLightOff
1050,killed the likes in the attire apartment,SwitchLightOff
1051,letson abrightness for me,DecreaseBrightness
1052,lesten the brightness of the lights in the bedroom,DecreaseBrightness
1053,can you change the light in the garden to pink,SetLightColor
1054,let there be light,SwitchLightOn
1055,legsty an the garit lighting te guende deau,SetLightBrightness
1056,let's have rud lights,SetLightColor
1057,let's have the entrance be read,SetLightColor
1058,let now the intensity of the lights,DecreaseBrightness
1059,let make the vestibule gream,SetLightColor
1060,let's get their paty o lifes to bebue,SetLightColor
1061,let's lower the light please,DecreaseBrightness
1062,let's make the entranslating red,SetLightColor
1063,let's make the lights pink,SetLightColor
1064,and you change t lighting into bathroom,SwitchLightOff
1065,it' turn off the light in the office,SwitchLightOff
1066,light up the vestibule,SwitchLightOn
1067,titing needs to be aggested to level doing the cubicale,SetLightBrightness
1068,lights in the backyard should be red,SetLightColor
1069,light in the kid's bedroom must be onplese,SwitchLightOn
1070,might more intent please,IncreaseBrightness
1071,lights off in the living room,SwitchLightOff
1072,lights off please,SwitchLightOff
1073,lights off,SwitchLightOff
1074,lights on in the kid's bedroom please,SwitchLightOn
1075,can you change e lighting intensity of the laundy room to twenty two,SetLightBrightness
1076,lights on now,SwitchLightOn
1077,lates out,SwitchLightOff
1078,lights out please,SwitchLightOff
1079,lights out please,SwitchLightOff
1080,lower all of the lighting,DecreaseBrightness
1081,lower a brightness,DecreaseBrightness
1082,lower greatness in the backyard,DecreaseBrightness
1083,lower brightness in the toilet's room,DecreaseBrightness
1084,lower light brightness,DecreaseBrightness
1085,lower lighting in the back yard,DecreaseBrightness
1086,can you change the lights to fifty on the pacio,SetLightBrightness
1087,lower the brightness,DecreaseBrightness
1088,lower the brightness in the cubicle,DecreaseBrightness
1089,o'er the brightness in the pusoli's room,DecreaseBrightness
1090,lower the brightness in the garden,DecreaseBrightness
1091,lower the intensity of the lights,DecreaseBrightness
1092,lower the lighting and the garage,DecreaseBrightness
1093,lower it delights,DecreaseBrightness
1094,o er thelights in my bedroom please,DecreaseBrightness
1095,oer the light in the changing room,DecreaseBrightness
1096,the brightness should be ten in a bathroom,SetLightBrightness
1097,could you set te bath for brightness level to thirty nine,SetLightBrightness
1098,the bold should not be so bright,DecreaseBrightness
1099,the cellar light should be turned on,SwitchLightOn
1100,the cellar needs to be bregter,IncreaseBrightness
1101,the colar of the light should be pink in the toilet's room,SetLightColor
1102,their cubical lights shall be pink,SetLightColor
1103,that i nin o mes too brad,DecreaseBrightness
1104,the garriage lightes me to be brigter,IncreaseBrightness
1105,the grant should have its lights toned off now,SwitchLightOff
1106,the house room might needs to be changed to red,SetLightColor
1107,the kitchen leght should be pink,SetLightColor
1108,e just a bedroom lights to ten per cent,SetLightBrightness
1109,can you sed the backroom ligke to seventy three,SetLightBrightness
1110,the kitchen should be brighter pleased,IncreaseBrightness
1111,the large meeting room is too dark and must be made brighter,IncreaseBrightness
1112,the laundry room is too bright,DecreaseBrightness
1113,the loger room lights should be green,SetLightColor
1114,the light color in the waiting room should be green,SetLightColor
1115,the light in the apartment used to be dimmed,DecreaseBrightness
1116,the light in the fordroom eans to be at seventy three,SetLightBrightness
1117,the light in the parking lot should be pink,SetLightColor
1118,the light in the shade neath the b alf,SwitchLightOff
1119,the lights need to be dammed,DecreaseBrightness
1120,th only said the badpost ofelinte riest,SetLightBrightness
1121,the light needs to be dimmed,DecreaseBrightness
1122,the lights are too bright and i want it dimmed,DecreaseBrightness
1123,the lights in the cellar need to be turned up,IncreaseBrightness
1124,the lights in the groging could be switched off,SwitchLightOff
1125,the light in the cates pedroom are to dark,IncreaseBrightness
1126,the lights in the living room needtably blue,SetLightColor
1127,the lights in the living room should be on twenty two,SetLightBrightness
1128,the light should be on please,SwitchLightOn
1129,lo are the lighvts in the dining room,DecreaseBrightness
1130,can you change the lights to green,SetLightColor
1131,flower the lights on the patio,DecreaseBrightness
1132,lo whot of the lades to gwinby,SetLightBrightness
1133,oh delight,DecreaseBrightness
1134,mag i dismens to les yo will be alli din to bred,SetLightBrightness
1135,make certain no lights are on in the bathroom,SwitchLightOff
1136,make it a little brighter in the bedroom,IncreaseBrightness
1137,make it a little liss darken here,IncreaseBrightness
1138,make it a little less dark in the back yard,IncreaseBrightness
1139,make it brighter,IncreaseBrightness
1140,make a briter in here,IncreaseBrightness
1141,can you change the lights to piqe,SetLightColor
1142,could brie him in the changing room,IncreaseBrightness
1143,mak git brighter in the changing room,IncreaseBrightness
1144,make a brigter in the dining room,IncreaseBrightness
1145,make it brighter in the large meeting room,IncreaseBrightness
1146,make a brighter in the living room,IncreaseBrightness
1147,make it brighter in the waiting room,IncreaseBrightness
1148,ake a dork,SwitchLightOff
1149,make it darken here,SwitchLightOff
1150,make it dark in the changing room,SwitchLightOff
1151,make it duck,SwitchLightOff
1152,can you change the lives to pink everywhere,SetLightColor
1153,make e dimmer an yeur,DecreaseBrightness
1154,make it more dem,DecreaseBrightness
1155,make it so that the light is pink,SetLightColor
1156,make landyroom green,SetLightColor
1157,make laundry in light brightness twenty,SetLightBrightness
1158,make lights brighter,IncreaseBrightness
1159,make light dimmer,DecreaseBrightness
1160,make lights less bright in the laundring room,DecreaseBrightness
1161,make lates bink,SetLightColor
1162,make lue lights of,SwitchLightOff
1163,add more lighting in the basement,IncreaseBrightness
1164,can you change the lights to the color red,SetLightColor
1165,make my bolbs less bright,DecreaseBrightness
1166,make my lights blue,SetLightColor
1167,make my lights brighter,IncreaseBrightness
1168,make my light sgreen,SetLightColor
1169,make my lights pink,SetLightColor
1170,make parking lights go on,SwitchLightOn
1171,make sure the hollwelates are increased in breatness,IncreaseBrightness
1172,make sure the light's braider so i can't see,IncreaseBrightness
1173,make sure there are no lights on,SwitchLightOff
1174,make t back air at brotor,IncreaseBrightness
1175,can you change the patio ligte to blue,SetLightColor
1176,make the basement at ten per cent for the light setting,SetLightBrightness
1177,make the recent lights go on,SwitchLightOn
1178,nake the by tru lade dimmer,DecreaseBrightness
1179,tomake the bathroom lights on,SwitchLightOn
1180,make the bedroom light demot,DecreaseBrightness
1181,make the bedroom lights turn on,SwitchLightOn
1182,make the bedroom light intensity ten,SetLightBrightness
1183,make the boardroom light to twelve,SetLightBrightness
1184,make the boardroom lights read,SetLightColor
1185,make the brightness at twelve per cent,SetLightBrightness
1186,can you train the besta ble to rit,SetLightColor
1187,make the brightness in the kitchen seventy three,SetLightBrightness
1188,make the brightness of my lights thirty nine,SetLightBrightness
1189,make the brights of the lights be at least two per cent,SetLightBrightness
1190,make the color of the light pink,SetLightColor
1191,make the color of the light red,SetLightColor
1192,makes a cubicle less bright,DecreaseBrightness
1193,make the cubica light gream,SetLightColor
1194,make the cupical lighting to be dimmer,DecreaseBrightness
1195,make the cubical lights turn off,SwitchLightOff
1196,can you darken the bedroom,DecreaseBrightness
1197,make dining revites awf please,SwitchLightOff
1198,make the yentery flat brighter,IncreaseBrightness
1199,make the entrance light at twenty two,SetLightBrightness
1200,make the entrance lights left tents,DecreaseBrightness
1201,make the gadis read,SetLightColor
1202,make the kit's bedroom brighter with more light,IncreaseBrightness
1203,make the kild's bedroom light read,SetLightColor
1204,make the kid's bedroom lights ea twelve,SetLightBrightness
1205,make the gitroom braider,IncreaseBrightness
1206,make the kitchen brighter,IncreaseBrightness
1207,can you decree the brightness,DecreaseBrightness
1208,make the large meeting room lage to thirteen anbreatnas,SetLightBrightness
1209,make the laundry room a bit dark o please,DecreaseBrightness
1210,make the laundry room lights red,SetLightColor
1211,make the late bredarpence,IncreaseBrightness
1212,make the light bult grit a please,IncreaseBrightness
1213,make the light bulls in the pantry the twenty brightness,SetLightBrightness
1214,make the lipebulbs pink,SetLightColor
1215,make the light demer,DecreaseBrightness
1216,make the light green,SetLightColor
1217,make the light in the bathroom brighter,IncreaseBrightness
1218,can ye decrease the brightness in the kid's bedroom,DecreaseBrightness
1219,make the light in the bedroom brighter,IncreaseBrightness
1220,make the ligt in the dining room red,SetLightColor
1221,make the light in the pantry to two,SetLightBrightness
1222,make the light turn red,SetLightColor
1223,make delighting brdywin here,IncreaseBrightness
